Question,Answer1,Answer2,Answer3,Answer4,Correct
"कुन जतिको मिर्तुसस्कार गर्दा १०८ वटा बत्ती बाली ""म्याम्जा"" गर्ने प्रचलन छ ?",तामांड,मगर,लिम्बु,राई,
तत्कालिन मिथिला नगर हाल नेपालको कुन ठाउँ मा पर्दछ ?,झापा,बिराटनगर,जनकपुर,भरतपुर,
नेपालको राष्ट्रयगानमा कति ओटा शब्द छन।,46,52,56,50,
December 5 2013 AD मा ९५ वर्ष को उमेर मा निधन भएका South Africa का पुर्व राष्ट्रपति Nelson Mandela को पार्थिव सरिर लाई पैतृक गाउँ कुनुमा कहिले समाधिस्त गरियो जहाँ उनले आफ्नो बाल्यकाल र किशोर अवस्था बिताएका थिए?,"December 20, 2013 AD","December 15, 2013 AD","December 25, 2013 AD","December 10, 2013 AD",
नेपालको  Suka taal कहाँ रहेको छ ?,Surkhet,Palpa,Sunsari,Chitwan,
सर्ब प्रथम चाँदीको मोहर चलाउने राजा को हुन् ?,Bhupatindra Malla,Lakshmi Narsingh Malla,Jayasthiti Malla,Mahendra Malla,
राष्ट्रिय युवा कोषको २०७० सालको नारायणगोपाल सांगीतिक पुरस्कार प्राप्त गर्ने कुन चर्चित युवा गायक हुन् ? पुरस्कारको राशी रु ४०००० रहेको थियो।,Shiva Pariyar,Nima Rumba,Sugam Pokhrel,Raju Lama,
हाल रास्ट्रपति भवन रहेको सितल निवास को निर्माण कसले गरेका हुन् ?,Krishna Shamsher,Mohan Shamsher,Juddha Shamsher,Hari Shamsher,
गौरवमय क्रान्ति (Glorious Revolution) पश्चात बेलायत को गद्दी मा को विराजमान भए?,William II,Prince William,Henry I,Henry III,
कृति अवार्ड के संग सम्बन्धित छ ?,पत्रकारिता,चलचित्र,बिज्ञापन एजेन्सी,खेलकुद,
England का Catholic हरु लाई सहुलियत दिन र Catholic धर्म प्रचार गर्ने उदेश्य ले James II ले 1687 AD मा गरेको घोषणा लाई के भनिन्छ?,प्रथम धार्मिक अनुग्रहण घोषणा,Magna Carta,प्राथनापत्र ( Petition of Right),सबै उत्तर ठिक छन्,
भुटनदेवी' मन्दिर कुन  जिल्लामा पर्दछ?,Bara,Chitwan,Makawanpur,Parsa,
शाक्त धर्मको प्रभाव कुन राजाको पाला देखि प्रमाणिक रुपमा पाउन सकिन्छ ?,नरेन्द्र देव,जयदेव दितीय,अंशु वर्मा,मानदेव प्रथम,
Das Capital पुस्तकका लेखक को हुन् ?,अरस्तु (Aristotle),कार्ल मार्क्स (Karl Marx),सुकरात (Socrates),प्लेटो (Plato),
कौटिल्यले अर्थशास्त्रको रचना कहिले गरेको मानिन्छ?,चौथो सताब्दीको अन्त्यतिर,पहिलो सताब्दीको अन्त्यतिर,तेस्रो सताब्दीको अन्त्यतिर,दोस्रो सताब्दीको अन्त्यतिर,
धर्मबिना जीवनको अस्तित्व छैंन यो भनाइ कसको हो ?,Mahatma Gandhi,Gautam Buddha,Ram Babu,Carl Marks,
निजामति सेवा नियमावली कहिले जारी भएको हो ?,२०५०/०४/२७,२०५०/०३/२८,२०५०/०८/०५,२०५०/०७/०३,
महान दार्सनिक Confucius को जन्म कहाँ भएको थियो?,Guangdong State of China,Lu State of China,Fujian State of Chiba,Yunnan State of China,
नेपाल भुमि सुधार कार्यक्रम कहिले लागु भयो ?,वि.स.२०२१,वि.स.२०२२,वि.स.२०२४,वि.स.२०२३,
Confucius ले कति वर्ष को उमेरमा आफैले बिद्यालय खोली संचालन गरेका थिए ?,22,31,30,25,
"चाणक्यका अनुसार राजाले बुद्धिमान, अनुभवी, र विश्वास पात्र मान्छे लाई के मा नियुक्ति गर्नु पर्छ भनेका छन् ?",युबराज,मन्त्रि,अमात्य,सेनापति,
