Question,Correct
नाम्चे बजार र नेपालगंजको मिल्ने कुरा के हो ?,अक्षांश
Singapore के का लागी प्रसिद्ध छ ?,व्यापार
व्यक्तिको सम्पूर्ण आम्दानी माथि लगाइने कर लाई के भनिन्थ्यो ?(17th Cuntury French Revolution Time)) ,भिनतेम्स
France मा कुन कुन धर्मावलम्बी हरुको बसोबास थियो?(Around 17th Century) ,सबै उत्तर ठिक  छन्
राणाकालमा ग्राम प्रसासनअन्तर्गत के के पर्दथे ?,माथिका सबै
नेपालमा वडापत्रको प्रयोग कहिलेदेखि भएको थियो ?,२०५३
Credit कार्ड प्रयोगमा ल्याउँने नेपालको पहिलो बैँक कुन हो ?,Himalayan Bank
नेपालमा कृषि गणना कति कति वर्षमा गरिन्छ ?,10 / 10
कृषिमा पशु क्षेत्रको योगदान कति प्रतिसद रहेको छ ?,२८ %
"""रुपाबाहिनी"" कुन देशको Tv channel हो ?",SRILANKA
पौष्टिक पदार्थ कती प्रकारका हुन्छन ?,6 प्रकार
Which is the tallest animal in the world?,Giraffe
नेपाल मा कतिवटा उप -महानगरपालिका छन् ?,११
"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is ",60
Coffee खेतीको लागी नेपालको प्रसिद्ध जिल्ला कुन हो ?,Gulmi
Superior Lake कुन महादेशमा पर्दछ ?,North America
